event_id,date,fighter_1,fighter_2,odds_1,odds_2,n_books,url
15ec018d144710db,2026-03-07,Charles Oliveira,Max Holloway,164,-210,6,/events/ufc-4025
15ec018d144710db,2026-03-07,Caio Borralho,Reinier de Ridder,-230,190,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Raul Rosas Jr,Rob Font,-335,250,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Drew Dober,Michael Johnson,-210,165,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Brunno Ferreira,Gregory Rodrigues,132,-165,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Cody Garbrandt,Long Xiao,138,-175,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Cody Brundage,Donte Johnson,600,-900,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Alberto Montes,Ricky Turcios,-190,155,5,/events/ufc-4025
15ec018d144710db,2026-03-07,Cody Durden,Nyamjargal Tumendemberel,162,-195,5,/events/ufc-4025
babc6b5745335f18,2026-03-14,Josh Emmett,Kevin Vallejos,400,-549,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Amanda Lemos,Gillian Robertson,195,-250,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Andre Fili,Jose Delgado,370,-480,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Harry Hardwick,Marwan Rahiki,230,-305,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Ion Cutelaba,Oumar Sy,240,-315,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Bruno Silva,Charles Johnson,148,-186,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Chris Curtis,Myktybek Orolbai,350,-480,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Steven Asplund,Vitor Petrino,180,-225,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Elijah Smith,Suyoung You,-275,210,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Bolaji Oki,Manoel Sousa,215,-278,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Brad Tavares,Eryk Anders,112,-137,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Bia Mesquita,Montserrat Rendon,-715,500,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Hecher Sosa,Luan Lacerda,-210,165,5,/events/ufc-vegas-114-4080
babc6b5745335f18,2026-03-14,Piera Rodriguez,Sam Hughes,-150,120,5,/events/ufc-vegas-114-4080
69108cb8b32efe04,2026-03-21,Lerone Murphy,Movsar Evloev,205,-250,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Luke Riley,Michael Aswell,-225,175,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Michael Page,Sam Patterson,-205,163,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Austen Lane,Iwo Baraniewski,510,-715,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Christian Leroy Duncan,Roman Dolidze,-385,295,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Danny Silva,Kurtis Campbell,230,-295,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Axel Sola,Mason Jones,120,-150,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Losene Keita,Nathaniel Wood,-265,200,5,/events/ufc-london-4081
69108cb8b32efe04,2026-03-21,Felipe Franco,Mario Pinto,650,-1000,5,/events/ufc-london-4081
