fight_id,event_id,event_name,event_date,event_location,r_fighter_id,r_fighter_name,b_fighter_id,b_fighter_name,result_status,winner_id,weight_class,title_fight,method,finish_round,finish_time,time_format,referee,r_total_kd,r_total_sig_landed,r_total_sig_atmp,r_total_total_str_landed,r_total_total_str_atmp,r_total_td_success,r_total_td_atmp,r_total_sub_att,r_total_rev,r_total_ctrl_seconds,r_total_sig_str_landed_head,r_total_sig_str_atmp_head,r_total_sig_str_landed_body,r_total_sig_str_atmp_body,r_total_sig_str_landed_leg,r_total_sig_str_atmp_leg,r_total_sig_str_landed_distance,r_total_sig_str_atmp_distance,r_total_sig_str_landed_clinch,r_total_sig_str_atmp_clinch,r_total_sig_str_landed_ground,r_total_sig_str_atmp_ground,b_total_kd,b_total_sig_landed,b_total_sig_atmp,b_total_total_str_landed,b_total_total_str_atmp,b_total_td_success,b_total_td_atmp,b_total_sub_att,b_total_rev,b_total_ctrl_seconds,b_total_sig_str_landed_head,b_total_sig_str_atmp_head,b_total_sig_str_landed_body,b_total_sig_str_atmp_body,b_total_sig_str_landed_leg,b_total_sig_str_atmp_leg,b_total_sig_str_landed_distance,b_total_sig_str_atmp_distance,b_total_sig_str_landed_clinch,b_total_sig_str_atmp_clinch,b_total_sig_str_landed_ground,b_total_sig_str_atmp_ground,r_height,r_reach_inches,r_stance,r_dob,b_height,b_reach_inches,b_stance,b_dob
568ec6af4008355a,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",17e97649403ba428,Joshua Van,a0f0004aadf10b71,Alexandre Pantoja,win,17e97649403ba428,Flyweight,1,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,1,181,305,259,392,0,0,1,1,133,158,278,17,20,6,7,160,278,17,21,4,6,0,147,284,159,300,5,18,0,0,551,91,213,30,37,26,34,124,258,16,18,7,8,"5' 5""",65.0,Orthodox,2001-10-10,"5' 5""",67.0,Orthodox,1990-04-16
fe612d20eec7ef35,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",eae48ff31db420c2,Arman Tsarukyan,9c393e836a852f30,Mauricio Ruffy,win,eae48ff31db420c2,Lightweight,0,KO/TKO,1,4:56,5 Rnd (5-5-5-5-5),Jason Herzog,1,8,19,9,20,1,10,0,0,180,7,14,0,1,1,4,3,13,5,6,0,0,0,4,10,22,28,0,0,0,0,6,3,7,1,2,0,1,2,8,2,2,0,0,"5' 7""",72.0,Orthodox,1996-10-11,"5' 11""",75.0,Orthodox,1996-06-17
f7810c98786c3dd8,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",98a58c26c5b1ed17,Patricio Pitbull,e93b04e308913c2e,Dooho Choi,win,98a58c26c5b1ed17,Featherweight,0,KO/TKO,1,3:28,3 Rnd (5-5-5),Mike Beltran,1,38,75,38,75,0,0,0,0,5,29,65,9,9,0,1,26,60,3,3,9,12,0,20,46,20,46,0,0,0,0,0,17,42,3,4,0,0,18,43,2,3,0,0,"5' 6""",67.0,Orthodox,1987-07-07,"5' 10""",70.0,Orthodox,1991-04-10
023ce4fa7b7b76f9,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",f7e856a73c96048e,Gable Steveson,0f3a990526c5e706,Sean Sharaf,win,0f3a990526c5e706,Heavyweight,0,KO/TKO,1,0:12,3 Rnd (5-5-5),Frank Trigg,0,1,2,1,2,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,1,3,6,3,6,0,0,0,0,2,3,6,0,0,0,0,1,4,0,0,2,2,"5' 11""",74.0,Orthodox,2000-05-31,"6' 3""",77.0,Orthodox,1993-07-11
196c64693a2ce308,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",a495f599e787614f,Alonzo Menifield,1c23ec2f1b71be40,Iwo Baraniewski,win,a495f599e787614f,Light Heavyweight,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jonathan Romero,0,62,162,140,246,1,5,0,0,174,56,155,4,5,2,2,42,132,20,30,0,0,0,67,121,89,146,1,3,0,0,259,52,104,13,15,2,2,50,97,16,23,1,1,"6' 0""",76.0,Orthodox,1987-10-18,"6' 0""",73.0,Orthodox,1998-11-20
d0361fe28d05a0b5,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",7c7332319c14094c,Marlon Vera,f1d64ae34e088832,Charles Jourdain,win,7c7332319c14094c,Bantamweight,0,KO/TKO,3,2:02,3 Rnd (5-5-5),Mike Beltran,3,72,128,80,138,3,3,0,0,135,38,85,22,28,12,15,37,81,21,25,14,22,0,83,127,108,153,0,1,0,0,0,27,62,38,45,18,20,59,94,24,33,0,0,"5' 8""",70.0,Switch,1992-12-02,"5' 9""",69.0,Switch,1995-11-27
3f2d637ffb324a51,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",c62fbc117d57b943,Tai Tuivasa,140567899d98978a,Robelis Despaigne,win,140567899d98978a,Heavyweight,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,0,31,68,54,93,1,6,0,0,418,17,49,9,9,5,10,12,37,9,19,10,12,0,30,69,83,128,2,2,0,0,308,29,68,1,1,0,0,18,48,6,11,6,10,"6' 2""",75.0,Southpaw,1993-03-16,"6' 7""",84.0,Orthodox,1988-08-09
d89cc2cb92cd8407,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",01c9e4013afce141,Michael Aswell Jr.,a44020ea2e8cd026,JooSang Yoo,win,01c9e4013afce141,Featherweight,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,0,70,145,93,171,0,1,0,0,71,40,111,5,6,25,28,62,136,8,9,0,0,0,46,129,51,135,1,4,0,0,138,35,110,4,6,7,13,44,126,2,3,0,0,"5' 8""",69.0,Orthodox,2000-09-27,"5' 7""",71.0,Orthodox,1994-01-21
51789f77811b1817,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",e463ce0a2ca474f4,Ryan Gandra,6967153c7edb4d87,Ozzy Diaz,win,e463ce0a2ca474f4,Middleweight,0,KO/TKO,1,2:04,3 Rnd (5-5-5),Jonathan Romero,1,16,34,16,34,0,0,0,0,3,13,29,1,3,2,2,10,26,0,0,6,8,0,3,4,3,4,0,0,0,0,0,1,2,1,1,1,1,3,4,0,0,0,0,"6' 1""",74.0,Orthodox,1995-05-08,"6' 4""",79.0,Orthodox,1990-11-22
9be47241c960d082,8a0a35e7c74bebcc,UFC 331: Van vs. Pantoja 2,2026-09-19,"Los Angeles, California, USA",4144798612ef96e5,Edmen Shahbazyan,1e719d4b676dc19a,Brunno Ferreira,win,4144798612ef96e5,Middleweight,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,1,61,110,63,112,1,3,0,0,57,29,66,11,14,21,30,56,105,4,4,1,1,0,32,108,33,109,0,0,0,0,0,16,81,1,7,15,20,30,105,2,3,0,0,"6' 2""",74.0,Orthodox,1997-11-20,"5' 10""",72.0,Orthodox,1992-11-04
