fight_id,round_no,r_id,b_id,r_kd,b_kd,r_sig_landed,r_sig_atmp,b_sig_landed,b_sig_atmp,r_total_str_landed,r_total_str_atmp,b_total_str_landed,b_total_str_atmp,r_td_success,r_td_atmp,b_td_success,b_td_atmp,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_str_landed_head,r_sig_str_atmp_head,b_sig_str_landed_head,b_sig_str_atmp_head,r_sig_str_landed_body,r_sig_str_atmp_body,b_sig_str_landed_body,b_sig_str_atmp_body,r_sig_str_landed_leg,r_sig_str_atmp_leg,b_sig_str_landed_leg,b_sig_str_atmp_leg,r_sig_str_landed_distance,r_sig_str_atmp_distance,b_sig_str_landed_distance,b_sig_str_atmp_distance,r_sig_str_landed_clinch,r_sig_str_atmp_clinch,b_sig_str_landed_clinch,b_sig_str_atmp_clinch,r_sig_str_landed_ground,r_sig_str_atmp_ground,b_sig_str_landed_ground,b_sig_str_atmp_ground
568ec6af4008355a,1,17e97649403ba428,a0f0004aadf10b71,0,0,13,27,27,45,46,61,30,48,0,0,2,3,0,0,1,0,0:45,2:25,13,26,20,38,0,1,4,4,0,0,3,3,9,22,18,35,4,5,4,4,0,0,5,6
568ec6af4008355a,2,17e97649403ba428,a0f0004aadf10b71,0,0,37,64,32,76,48,76,33,78,0,0,1,5,0,0,0,0,0:20,1:31,27,52,21,60,7,8,9,11,3,4,2,5,31,55,23,66,6,9,8,9,0,0,1,1
568ec6af4008355a,3,17e97649403ba428,a0f0004aadf10b71,0,0,65,98,36,71,67,101,37,72,0,0,1,6,0,0,0,0,0:14,1:17,54,86,25,59,9,10,7,8,2,2,4,4,58,91,33,67,7,7,3,4,0,0,0,0
568ec6af4008355a,4,17e97649403ba428,a0f0004aadf10b71,0,0,14,28,14,22,41,57,21,32,0,0,1,2,0,0,0,0,0:00,3:58,13,27,11,19,1,1,1,1,0,0,2,2,14,28,13,21,0,0,0,0,0,0,1,1
568ec6af4008355a,5,17e97649403ba428,a0f0004aadf10b71,1,0,52,88,38,70,57,97,38,70,0,0,0,2,1,0,0,0,0:54,0:00,51,87,14,37,0,0,9,13,1,1,15,20,48,82,37,69,0,0,1,1,4,6,0,0
fe612d20eec7ef35,1,eae48ff31db420c2,9c393e836a852f30,1,0,8,19,4,10,9,20,22,28,1,10,0,0,0,0,0,0,3:00,0:06,7,14,3,7,0,1,1,2,1,4,0,1,3,13,2,8,5,6,2,2,0,0,0,0
f7810c98786c3dd8,1,98a58c26c5b1ed17,e93b04e308913c2e,1,0,38,75,20,46,38,75,20,46,0,0,0,0,0,0,0,0,0:05,0:00,29,65,17,42,9,9,3,4,0,1,0,0,26,60,18,43,3,3,2,3,9,12,0,0
023ce4fa7b7b76f9,1,f7e856a73c96048e,0f3a990526c5e706,0,1,1,2,3,6,1,2,3,6,0,0,0,0,0,0,0,0,0:00,0:02,0,1,3,6,0,0,0,0,1,1,0,0,1,2,1,4,0,0,0,0,0,0,2,2
196c64693a2ce308,1,a495f599e787614f,1c23ec2f1b71be40,0,0,10,42,17,42,10,42,25,52,0,1,1,1,0,0,0,0,0:28,1:19,9,41,15,39,0,0,2,3,1,1,0,0,9,41,15,38,1,1,1,3,0,0,1,1
196c64693a2ce308,2,a495f599e787614f,1c23ec2f1b71be40,0,0,34,81,33,50,49,102,35,52,0,2,0,0,0,0,0,0,0:38,1:03,31,77,26,42,2,3,7,8,1,1,0,0,26,67,26,42,8,14,7,8,0,0,0,0
196c64693a2ce308,3,a495f599e787614f,1c23ec2f1b71be40,0,0,18,39,17,29,81,102,29,42,1,2,0,2,0,0,0,0,1:48,1:57,16,37,11,23,2,2,4,4,0,0,2,2,7,24,9,17,11,15,8,12,0,0,0,0
d0361fe28d05a0b5,1,7c7332319c14094c,f1d64ae34e088832,0,0,21,38,28,42,25,42,43,58,2,2,0,1,0,0,0,0,1:16,0:00,12,27,5,16,6,8,15,18,3,3,8,8,8,21,20,30,11,13,8,12,2,4,0,0
