fight_id,event_id,event_name,event_date,event_location,weight_class,title_fight,winner_id,result_status,method,finish_round,finish_time,time_format,referee,details,bonuses,r_fighter_id,r_fighter_name,r_fighter_nick_name,r_height,r_weight_lbs,r_reach_inches,r_stance,r_dob,r_slpm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_acc,r_td_def,r_sub_avg,b_fighter_id,b_fighter_name,b_fighter_nick_name,b_height,b_weight_lbs,b_reach_inches,b_stance,b_dob,b_slpm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_acc,b_td_def,b_sub_avg,r_total_kd,b_total_kd,r_total_sig_landed,r_total_sig_atmp,b_total_sig_landed,b_total_sig_atmp,r_total_total_str_landed,r_total_total_str_atmp,b_total_total_str_landed,b_total_total_str_atmp,r_total_td_success,r_total_td_atmp,b_total_td_success,b_total_td_atmp,r_total_sub_att,b_total_sub_att,r_total_rev,b_total_rev,r_total_sig_str_landed_head,r_total_sig_str_atmp_head,b_total_sig_str_landed_head,b_total_sig_str_atmp_head,r_total_sig_str_landed_body,r_total_sig_str_atmp_body,b_total_sig_str_landed_body,b_total_sig_str_atmp_body,r_total_sig_str_landed_leg,r_total_sig_str_atmp_leg,b_total_sig_str_landed_leg,b_total_sig_str_atmp_leg,r_total_sig_str_landed_distance,r_total_sig_str_atmp_distance,b_total_sig_str_landed_distance,b_total_sig_str_atmp_distance,r_total_sig_str_landed_clinch,r_total_sig_str_atmp_clinch,b_total_sig_str_landed_clinch,b_total_sig_str_atmp_clinch,r_total_sig_str_landed_ground,r_total_sig_str_atmp_ground,b_total_sig_str_landed_ground,b_total_sig_str_atmp_ground,r_total_ctrl_seconds,b_total_ctrl_seconds,rounds_fought
4cd909fa0d3e0483,baf942f4bcb09894,The Ultimate Fighter: The Comeback Finale,2006-11-11,"Las Vegas, Nevada, USA",Welterweight,0,c3ea8deeba00462b,win,Submission,2,1:11,3 Rnd (5-5-5),Herb Dean,"Injury  
      Neck Injury",,c3ea8deeba00462b,Pete Spratt,The Secret Weapon,"5' 9""",170,,Orthodox,1971-01-09,1.63,48,1.33,55,0.3,100,46,0.3,ad32471f01e7b1a5,Jeremy Jackson,Scorpion,"5' 10""",170,,Orthodox,1982-09-19,0.71,27,2.03,25,1.52,40,58,0.0,0,0,12,15,5,14,40,43,20,33,0,0,2,5,0,0,1,1,7,10,0,7,2,2,1,1,3,3,4,6,4,5,0,8,3,3,5,5,5,7,0,1,67,201,2
5ac9cf4ffc15ccca,c61f66d8c3fd5f07,UFC 44: Undisputed,2003-09-26,"Las Vegas, Nevada, USA",Welterweight,0,f57a8a52ca401ed9,win,Submission,3,2:04,3 Rnd (5-5-5),Steve Mazzagatti,Armbar From Bottom Guard,,f57a8a52ca401ed9,Nick Diaz,,"6' 1""",170,76,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1.0,ad32471f01e7b1a5,Jeremy Jackson,Scorpion,"5' 10""",170,,Orthodox,1982-09-19,0.71,27,2.03,25,1.52,40,58,0.0,0,0,17,24,9,37,92,107,71,103,6,13,0,0,2,0,0,1,14,20,9,37,3,4,0,0,0,0,0,0,1,3,0,7,0,0,1,5,16,21,8,25,402,208,3
e8ec95cdef577733,80e6d71e14c1d356,KOTC 15: Bad Intentions,2002-06-22,,Welterweight,0,79899ecf62020f6d,win,KO/TKO,1,1:27,3 Rnd (5-5-5),,Punches to Head From Mount,,79899ecf62020f6d,Joe Stevenson,Daddy,"5' 7""",145,70,Orthodox,1982-06-15,2.05,44,2.44,60,2.75,44,39,2.2,ad32471f01e7b1a5,Jeremy Jackson,Scorpion,"5' 10""",170,,Orthodox,1982-09-19,0.71,27,2.03,25,1.52,40,58,0.0,0,0,11,15,0,0,12,16,4,4,1,4,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,1
db936df21e61209e,749685d24e2cac50,UFC 16: Battle in the Bayou,1998-03-13,"New Orleans, Louisiana, USA",Middleweight,0,93892752c5fc23ca,win,Submission,1,10:23,1 Rnd + OT (12-3),John McCarthy,"Armbar From Bottom Guard
      Technical Submission",,93892752c5fc23ca,Jerry Bohlander,,"5' 11""",199,,Orthodox,1974-02-12,0.0,0,0.0,0,0.0,0,0,0.0,13b2f59210dda9cc,Kevin Jackson,,"5' 10""",199,,Switch,1964-11-25,0.0,0,0.0,0,0.0,0,0,0.0,0,0,5,17,18,25,9,21,35,44,0,2,2,2,2,0,0,0,2,14,13,20,0,0,4,4,3,3,1,1,4,16,5,9,0,0,0,0,1,1,13,16,0,0,1
e0c636beed345e1d,29f935654825331b,UFC - Ultimate Japan,1997-12-21,"Yokohama, Kanagawa, Japan",Light Heavyweight,1,fcaae0385b514f11,win,Submission,1,0:16,1 Rnd + 2OT (15-3-3),John McCarthy,Armbar From Bottom Guard,,fcaae0385b514f11,Frank Shamrock,,"5' 10""",185,,Orthodox,1972-12-08,4.75,53,4.66,57,0.35,50,37,1.1,13b2f59210dda9cc,Kevin Jackson,,"5' 10""",199,,Switch,1964-11-25,0.0,0,0.0,0,0.0,0,0,0.0,0,0,1,1,2,3,1,1,2,3,0,0,1,1,1,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1
c92596c3143db25b,dc950d59dc590aca,UFC 14: Showdown,1997-07-27,"Birmingham, Alabama, USA",14 Middleweight Tournament,1,13b2f59210dda9cc,win,Submission,1,0:44,1 Rnd + OT (12-3),John McCarthy,Rear Naked Choke,,13b2f59210dda9cc,Kevin Jackson,,"5' 10""",199,,Switch,1964-11-25,0.0,0,0.0,0,0.0,0,0,0.0,253de74457bd6374,Tony Fryklund,The Freak,"6' 0""",185,,Orthodox,1971-03-26,3.49,39,6.5,43,0.0,0,66,0.5,0,0,2,4,0,1,3,5,0,1,1,1,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,1
e0a11799d3446b87,dc950d59dc590aca,UFC 14: Showdown,1997-07-27,"Birmingham, Alabama, USA",Lightweight,0,13b2f59210dda9cc,win,KO/TKO,1,1:27,1 Rnd + OT (12-3),John McCarthy,"Punches to Head From Back Control
      Submission to Strikes",,13b2f59210dda9cc,Kevin Jackson,,"5' 10""",199,,Switch,1964-11-25,0.0,0,0.0,0,0.0,0,0,0.0,3fed746acfd026dd,Todd Butler,,"6' 1""",200,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0,0,0,3,6,1,4,4,7,1,4,1,1,0,0,0,0,0,0,3,4,1,4,0,1,0,0,0,1,0,0,0,2,1,4,0,1,0,0,3,3,0,0,0,0,1
7cf7960c6ccb5fa1,236a37d96d476164,UFC Fight Night: Lemos vs. Andrade,2022-04-23,"Las Vegas, Nevada, USA",Welterweight,0,0641c21bec209472,win,DQ,1,3:52,3 Rnd (5-5-5),Chris Tognoni,Eye Poke by Barry,,a6f3d15cb84334bb,Dean Barry,The Sniper,"5' 10""",170,72,Orthodox,1992-07-03,9.31,40,4.66,51,0.0,0,100,0.0,0641c21bec209472,Mike Jackson,The Truth,"6' 2""",170,74,Orthodox,1985-03-22,4.49,57,3.73,62,0.71,33,88,0.0,1,0,36,90,18,37,39,93,18,37,0,0,0,1,0,0,0,0,25,78,13,30,10,11,1,2,1,1,4,5,26,74,18,37,8,12,0,0,2,4,0,0,15,9,1
84b04e8d6b251c54,49c29e57d4e2be6f,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Welterweight,0,776d4262c4da38bf,win,KO/TKO,1,1:33,3 Rnd (5-5-5),Chris Tognoni,Knee to Head At Distance,,0641c21bec209472,Mike Jackson,The Truth,"6' 2""",170,74,Orthodox,1985-03-22,4.49,57,3.73,62,0.71,33,88,0.0,776d4262c4da38bf,Pete Rodriguez,Dead Game,"5' 9""",170,71,Switch,1996-11-13,9.28,43,12.83,42,0.0,0,100,0.0,0,1,10,15,22,33,11,16,26,39,0,1,0,0,0,0,0,0,8,13,12,23,2,2,8,8,0,0,2,2,9,14,13,21,1,1,6,8,0,0,3,4,0,15,1
21392a61a2cf24a3,6cbb7661c3258617,UFC on FUEL TV: Struve vs Miocic,2012-09-29,"Nottingham, England, United Kingdom",Bantamweight,0,c945adc22c2bfe8f,win,KO/TKO,1,3:40,3 Rnd (5-5-5),Leon Roberts,Punch to Head At Distance,Knockout of the Night,c945adc22c2bfe8f,Brad Pickett,One Punch,"5' 6""",135,68,Orthodox,1978-09-24,3.02,31,4.63,55,2.47,44,58,0.4,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,1,0,14,48,26,57,14,48,26,57,0,1,0,0,0,0,0,0,8,39,15,44,3,5,7,9,3,4,4,4,12,46,26,56,0,0,0,1,2,2,0,0,2,0,1
ee9173615ef4cfae,de99da2c0d18d34a,UFC Fight Night: Hendricks vs Thompson,2016-02-06,"Las Vegas, Nevada, USA",Welterweight,0,9e50097a89442158,win,Submission,1,0:45,3 Rnd (5-5-5),Yves Lavigne,Rear Naked Choke,,9e50097a89442158,Mickey Gall,,"6' 2""",170,74,Switch,1992-01-22,3.5,49,4.72,49,1.15,32,37,1.6,0641c21bec209472,Mike Jackson,The Truth,"6' 2""",170,74,Orthodox,1985-03-22,4.49,57,3.73,62,0.71,33,88,0.0,1,0,2,4,3,6,3,5,3,6,0,0,0,0,1,0,0,0,2,4,3,5,0,0,0,1,0,0,0,0,1,3,3,6,0,0,0,0,1,1,0,0,15,0,1
fef109b9f26585b3,6d7886b094b471ac,UFC 140: Jones vs Machida,2011-12-10,"Toronto, Ontario, Canada",Bantamweight,0,b4eeac608fc82f88,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,David Therien 28 - 29. Greg Jackson 29 - 28. Nelson Hamilton 27 - 30.,,92aafa8f4b26269b,Walel Watson,The Gazelle,"5' 11""",135,75,Orthodox,1984-07-16,2.1,29,3.79,43,0.0,0,61,1.4,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,0,0,47,163,33,90,60,178,33,90,0,1,2,6,2,0,1,0,21,112,9,47,11,22,5,11,15,29,19,32,41,157,32,88,3,3,1,2,3,3,0,0,75,102,3
64756e0f4b305da8,2eae41f61776c60f,UFC 225: Whittaker vs. Romero 2,2018-06-09,"Chicago, Illinois, USA",Welterweight,0,,no_contest,Overturned,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Failed Drug Test by Jackson Sal D'amato 30 - 26. Chris Lee 30 - 26. Brandon Mason 30 - 26.,,a8c9d16fe2a14d72,CM Punk,,"6' 1""",170,73,Orthodox,1978-10-26,1.1,23,4.87,40,0.87,11,0,0.0,0641c21bec209472,Mike Jackson,The Truth,"6' 2""",170,74,Orthodox,1985-03-22,4.49,57,3.73,62,0.71,33,88,0.0,0,0,19,81,64,108,56,129,129,177,1,9,1,1,0,0,1,0,10,63,54,95,7,13,10,12,2,5,0,1,10,67,32,66,7,11,14,16,2,3,18,26,171,446,3
83e83ea6b1f02560,ce6065baef021cf3,Strikeforce - Revenge,2006-06-09,,Middleweight,0,ce783bf73b5131f9,win,KO/TKO,2,2:49,3 Rnd (5-5-5),Cecil Peoples,Punches to Head From Mount,,ce783bf73b5131f9,Eugene Jackson,The Wolf,"5' 8""",185,,Orthodox,1966-09-23,2.19,33,3.44,32,1.91,71,16,2.3,0c01568b1ac77bff,Mike Seal,Crazy Boy,"6' 4""",185,,Orthodox,1977-07-30,5.5,68,3.33,50,0.0,0,33,0.0,0,0,26,53,43,63,40,71,56,78,2,3,0,0,1,0,0,1,17,42,20,37,9,11,16,17,0,0,7,9,12,32,17,35,10,16,9,10,4,5,17,18,0,0,2
1fb62d8192128dc1,18968f97ad34f15c,UFC 134: Silva vs Okami,2011-08-27,"Rio de Janeiro, Brazil",Bantamweight,0,b4eeac608fc82f88,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Andy Roberts 30 - 27. Doug Crosby 28 - 29. Chris Lee 28 - 29.,,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,eea0274e153256a0,Ian Loveland,The Barn Owl,"5' 8""",145,,Orthodox,1983-09-07,2.71,40,2.36,64,1.0,37,69,0.3,0,0,37,106,33,102,38,107,45,118,2,6,3,7,0,1,1,1,11,64,28,96,14,21,5,6,12,21,0,0,36,102,21,78,0,3,6,13,1,1,6,11,60,151,3
1bf7f647f309464e,2ce6541127b0e232,UFC Fight Night: Holloway vs Oliveira,2015-08-23,"Saskatoon, Saskatchewan, Canada",Bantamweight,0,71002dbc1743b9a7,win,Submission,1,4:21,3 Rnd (5-5-5),Yves Lavigne,Armbar From Bottom Guard,Performance of the Night,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,71002dbc1743b9a7,Felipe Arantes,Sertanejo,"5' 8""",135,73,Orthodox,1988-02-09,2.37,45,2.66,64,0.93,47,41,0.7,0,0,5,10,4,6,18,26,8,10,2,2,0,1,0,1,0,1,5,9,2,3,0,1,2,2,0,0,0,1,2,6,0,2,0,0,1,1,3,4,3,3,219,14,1
b32c49d73ce5c599,75f871836d41f90f,Strikeforce - Playboy Mansion,2007-09-29,,Middleweight,0,d512d9f204059f57,win,KO/TKO,1,3:56,3 Rnd (5-5-5),Cecil Peoples,Punches to Head From Half Guard,,d512d9f204059f57,Joe Riggs,Diesel,"6' 0""",185,70,Southpaw,1982-09-23,2.41,51,1.69,57,2.45,55,62,0.6,ce783bf73b5131f9,Eugene Jackson,The Wolf,"5' 8""",185,,Orthodox,1966-09-23,2.19,33,3.44,32,1.91,71,16,2.3,0,0,21,22,3,9,36,38,4,10,2,2,0,0,1,0,0,0,20,21,0,6,1,1,3,3,0,0,0,0,3,3,1,7,1,1,0,0,17,18,2,2,0,0,1
8348ff428d1687ab,2db7fa8db6bc9632,UFC 129: St-Pierre vs Shields,2011-04-30,"Toronto, Ontario, Canada",Featherweight,0,8e5bfd4e82352340,win,Submission,1,4:31,3 Rnd (5-5-5),Yves Lavigne,Flying Triangle,Submission of the Night,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,8e5bfd4e82352340,Pablo Garza,The Scarecrow,"6' 1""",145,73,Orthodox,1983-09-16,3.37,44,2.7,50,0.94,25,15,1.3,0,0,16,37,26,48,16,37,33,55,0,0,0,1,0,1,0,1,6,23,10,25,1,2,8,11,9,12,8,12,16,37,11,30,0,0,7,10,0,0,8,8,41,26,1
97ad3419f2029ba1,a8d521d913df4e31,UFC on FOX: Henderson vs Thomson,2014-01-25,"Chicago, Illinois, USA",Bantamweight,0,fc9a9559a05f2704,win,KO/TKO,2,4:16,3 Rnd (5-5-5),Robert Madrigal,Punches to Head From Back Control,,fc9a9559a05f2704,Eddie Wineland,,"5' 7""",135,69,Orthodox,1984-06-26,3.4,29,3.76,68,0.34,33,86,0.1,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,1,0,54,138,33,109,58,142,33,109,0,1,0,0,0,0,0,0,42,121,20,84,9,14,8,20,3,3,5,5,22,83,32,107,5,6,1,2,27,49,0,0,75,0,2
5fe5c8cb69d8825e,5b5307450405abf0,UFC 174: Johnson vs Bagautinov,2014-06-14,"Vancouver, British Columbia, Canada",Bantamweight,0,b4eeac608fc82f88,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Dornan,Richard Bertrand 28 - 29. Tony Weeks 28 - 29. Tony Williamson 28 - 29.,,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,bc7230f231701d66,Mike Easton,The Hulk,"5' 6""",135,70,Southpaw,1984-01-25,3.51,37,4.28,61,0.75,22,66,0.0,0,0,60,132,42,121,81,156,110,196,5,8,0,4,0,0,0,1,38,98,17,92,21,32,18,22,1,2,7,7,44,111,25,99,13,15,10,13,3,6,7,9,412,174,3
78f1457371e2ef6b,997b4f52f76a0b53,UFC 186: Johnson vs Horiguchi,2015-04-25,"Montreal, Quebec, Canada",Bantamweight,0,2b074403b7c6cdb4,win,KO/TKO,1,4:18,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance,Performance of the Night,b4eeac608fc82f88,Yves Jabouin,Tiger,"5' 7""",135,68,Orthodox,1979-05-30,3.06,41,2.93,62,1.94,60,82,0.1,2b074403b7c6cdb4,Thomas Almeida,Thominhas,"5' 7""",145,70,Southpaw,1991-07-31,4.84,43,4.93,61,0.17,14,75,0.0,0,0,20,56,31,75,20,56,32,76,1,1,0,0,0,0,0,0,12,43,18,58,8,13,7,9,0,0,6,8,18,53,24,62,2,3,7,13,0,0,0,0,24,0,1
