fight_id,round_no,r_id,b_id,r_kd,b_kd,r_sig_landed,r_sig_atmp,b_sig_landed,b_sig_atmp,r_total_str_landed,r_total_str_atmp,b_total_str_landed,b_total_str_atmp,r_td_success,r_td_atmp,b_td_success,b_td_atmp,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_str_landed_head,r_sig_str_atmp_head,b_sig_str_landed_head,b_sig_str_atmp_head,r_sig_str_landed_body,r_sig_str_atmp_body,b_sig_str_landed_body,b_sig_str_atmp_body,r_sig_str_landed_leg,r_sig_str_atmp_leg,b_sig_str_landed_leg,b_sig_str_atmp_leg,r_sig_str_landed_distance,r_sig_str_atmp_distance,b_sig_str_landed_distance,b_sig_str_atmp_distance,r_sig_str_landed_clinch,r_sig_str_atmp_clinch,b_sig_str_landed_clinch,b_sig_str_atmp_clinch,r_sig_str_landed_ground,r_sig_str_atmp_ground,b_sig_str_landed_ground,b_sig_str_atmp_ground
4cd909fa0d3e0483,1,c3ea8deeba00462b,ad32471f01e7b1a5,0,0,11,14,5,12,37,40,20,31,0,0,2,4,0,0,1,1,1:00,2:59,7,10,0,6,2,2,1,1,2,2,4,5,3,4,0,6,3,3,5,5,5,7,0,1
4cd909fa0d3e0483,2,c3ea8deeba00462b,ad32471f01e7b1a5,0,0,1,1,0,2,3,3,0,2,0,0,0,1,0,0,0,0,0:07,0:22,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0
5ac9cf4ffc15ccca,1,f57a8a52ca401ed9,ad32471f01e7b1a5,0,0,8,12,3,7,60,69,25,31,3,8,0,0,0,0,0,0,3:54,0:20,8,12,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,8,12,2,2
5ac9cf4ffc15ccca,2,f57a8a52ca401ed9,ad32471f01e7b1a5,0,0,6,8,6,23,23,28,38,57,1,3,0,0,0,0,0,1,1:52,2:45,3,5,6,23,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,7,6,22
5ac9cf4ffc15ccca,3,f57a8a52ca401ed9,ad32471f01e7b1a5,0,0,3,4,0,7,9,10,8,15,2,2,0,0,2,0,0,0,0:56,0:23,3,3,0,7,0,1,0,0,0,0,0,0,1,2,0,5,0,0,0,1,2,2,0,1
e8ec95cdef577733,1,79899ecf62020f6d,ad32471f01e7b1a5,0,0,11,15,0,0,12,16,4,4,1,4,0,0,0,0,0,0,,,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0
db936df21e61209e,1,93892752c5fc23ca,13b2f59210dda9cc,0,0,5,17,18,25,9,21,35,44,0,2,2,2,2,0,0,0,,,2,14,13,20,0,0,4,4,3,3,1,1,4,16,5,9,0,0,0,0,1,1,13,16
e0c636beed345e1d,1,fcaae0385b514f11,13b2f59210dda9cc,0,0,1,1,2,3,1,1,2,3,0,0,1,1,1,0,0,0,,,1,1,1,2,0,0,1,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0
c92596c3143db25b,1,13b2f59210dda9cc,253de74457bd6374,0,0,2,4,0,1,3,5,0,1,1,1,0,0,1,0,0,0,,,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,0
e0a11799d3446b87,1,13b2f59210dda9cc,3fed746acfd026dd,0,0,3,6,1,4,4,7,1,4,1,1,0,0,0,0,0,0,,,3,4,1,4,0,1,0,0,0,1,0,0,0,2,1,4,0,1,0,0,3,3,0,0
7cf7960c6ccb5fa1,1,a6f3d15cb84334bb,0641c21bec209472,1,0,36,90,18,37,39,93,18,37,0,0,0,1,0,0,0,0,0:15,0:09,25,78,13,30,10,11,1,2,1,1,4,5,26,74,18,37,8,12,0,0,2,4,0,0
84b04e8d6b251c54,1,0641c21bec209472,776d4262c4da38bf,0,1,10,15,22,33,11,16,26,39,0,1,0,0,0,0,0,0,0:00,0:15,8,13,12,23,2,2,8,8,0,0,2,2,9,14,13,21,1,1,6,8,0,0,3,4
21392a61a2cf24a3,1,c945adc22c2bfe8f,b4eeac608fc82f88,1,0,14,48,26,57,14,48,26,57,0,1,0,0,0,0,0,0,0:02,0:00,8,39,15,44,3,5,7,9,3,4,4,4,12,46,26,56,0,0,0,1,2,2,0,0
ee9173615ef4cfae,1,9e50097a89442158,0641c21bec209472,1,0,2,4,3,6,3,5,3,6,0,0,0,0,1,0,0,0,0:15,0:00,2,4,3,5,0,0,0,1,0,0,0,0,1,3,3,6,0,0,0,0,1,1,0,0
fef109b9f26585b3,1,92aafa8f4b26269b,b4eeac608fc82f88,0,0,12,56,6,23,15,60,6,23,0,1,1,4,0,0,0,0,0:02,1:10,4,41,4,13,4,8,1,2,4,7,1,8,10,54,5,22,2,2,1,1,0,0,0,0
64756e0f4b305da8,1,a8c9d16fe2a14d72,0641c21bec209472,0,0,11,41,18,34,16,47,29,45,1,5,0,0,0,0,0,0,2:04,0:58,4,28,12,27,5,8,6,7,2,5,0,0,5,32,13,28,5,8,5,6,1,1,0,0
fef109b9f26585b3,2,92aafa8f4b26269b,b4eeac608fc82f88,0,0,15,47,11,34,15,47,11,34,0,0,1,1,1,0,0,0,0:00,0:24,6,32,1,18,3,7,2,4,6,8,8,12,14,46,11,33,1,1,0,1,0,0,0,0
64756e0f4b305da8,2,a8c9d16fe2a14d72,0641c21bec209472,0,0,5,15,24,39,29,46,48,64,0,1,1,1,0,0,0,0,0:06,3:41,4,12,21,35,1,3,3,4,0,0,0,0,3,12,8,16,1,1,2,2,1,2,14,21
fef109b9f26585b3,3,92aafa8f4b26269b,b4eeac608fc82f88,0,0,20,60,16,33,30,71,16,33,0,0,0,1,1,0,1,0,1:13,0:08,11,39,4,16,4,7,2,5,5,14,10,12,17,57,16,33,0,0,0,0,3,3,0,0
64756e0f4b305da8,3,a8c9d16fe2a14d72,0641c21bec209472,0,0,3,25,22,35,11,36,52,68,0,3,0,0,0,0,1,0,0:41,2:47,2,23,21,33,1,2,1,1,0,0,0,1,2,23,11,22,1,2,7,8,0,0,4,5
83e83ea6b1f02560,1,ce783bf73b5131f9,0c01568b1ac77bff,0,0,12,24,31,41,24,39,44,56,1,2,0,0,1,0,0,1,,,7,18,18,26,5,6,12,13,0,0,1,2,5,14,6,14,6,9,8,9,1,1,17,18
83e83ea6b1f02560,2,ce783bf73b5131f9,0c01568b1ac77bff,0,0,14,29,12,22,16,32,12,22,1,1,0,0,0,0,0,0,,,10,24,2,11,4,5,4,4,0,0,6,7,7,18,11,21,4,7,1,1,3,4,0,0
1fb62d8192128dc1,1,b4eeac608fc82f88,eea0274e153256a0,0,0,10,24,12,33,11,25,15,39,0,0,1,2,0,1,0,0,0:00,1:36,4,13,10,31,4,5,2,2,2,6,0,0,10,22,5,19,0,2,5,9,0,0,2,5
1fb62d8192128dc1,2,b4eeac608fc82f88,eea0274e153256a0,0,0,10,27,7,24,10,27,16,34,2,2,2,2,0,0,1,1,0:56,0:55,3,17,6,22,3,3,1,2,4,7,0,0,9,25,2,15,0,1,1,3,1,1,4,6
1fb62d8192128dc1,3,b4eeac608fc82f88,eea0274e153256a0,0,0,17,55,14,45,17,55,14,45,0,4,0,3,0,0,0,0,0:04,0:00,4,34,12,43,7,13,2,2,6,8,0,0,17,55,14,44,0,0,0,1,0,0,0,0
1bf7f647f309464e,1,b4eeac608fc82f88,71002dbc1743b9a7,0,0,5,10,4,6,18,26,8,10,2,2,0,1,0,1,0,1,3:39,0:14,5,9,2,3,0,1,2,2,0,0,0,1,2,6,0,2,0,0,1,1,3,4,3,3
b32c49d73ce5c599,1,d512d9f204059f57,ce783bf73b5131f9,0,0,21,22,3,9,36,38,4,10,2,2,0,0,1,0,0,0,,,20,21,0,6,1,1,3,3,0,0,0,0,3,3,1,7,1,1,0,0,17,18,2,2
8348ff428d1687ab,1,b4eeac608fc82f88,8e5bfd4e82352340,0,0,16,37,26,48,16,37,33,55,0,0,0,1,0,1,0,1,0:41,0:26,6,23,10,25,1,2,8,11,9,12,8,12,16,37,11,30,0,0,7,10,0,0,8,8
97ad3419f2029ba1,1,fc9a9559a05f2704,b4eeac608fc82f88,0,0,17,53,21,62,17,53,21,62,0,1,0,0,0,0,0,0,0:00,0:00,8,42,13,46,6,8,5,13,3,3,3,3,13,48,20,61,4,5,1,1,0,0,0,0
5fe5c8cb69d8825e,1,b4eeac608fc82f88,bc7230f231701d66,0,0,13,40,15,37,16,44,33,58,2,3,0,1,0,0,0,0,2:46,0:22,7,32,8,28,6,8,3,5,0,0,4,4,10,35,11,33,1,1,4,4,2,4,0,0
78f1457371e2ef6b,1,b4eeac608fc82f88,2b074403b7c6cdb4,0,0,20,56,31,75,20,56,32,76,1,1,0,0,0,0,0,0,0:24,0:00,12,43,18,58,8,13,7,9,0,0,6,8,18,53,24,62,2,3,7,13,0,0,0,0
97ad3419f2029ba1,2,fc9a9559a05f2704,b4eeac608fc82f88,1,0,37,85,12,47,41,89,12,47,0,0,0,0,0,0,0,0,1:15,0:00,34,79,7,38,3,6,3,7,0,0,2,2,9,35,12,46,1,1,0,1,27,49,0,0
5fe5c8cb69d8825e,2,b4eeac608fc82f88,bc7230f231701d66,0,0,28,59,14,48,40,73,24,58,2,3,0,1,0,0,0,0,2:37,0:06,21,46,6,40,7,13,6,6,0,0,2,2,21,51,10,42,6,6,4,6,1,2,0,0
e0e41464c1bc7ee1,1,b4eeac608fc82f88,97a8f39186f489db,1,0,19,34,8,29,34,51,8,29,0,0,0,0,0,0,0,0,0:47,0:00,12,23,2,19,5,7,1,3,2,4,5,7,12,25,8,29,0,0,0,0,7,9,0,0
5fe5c8cb69d8825e,3,b4eeac608fc82f88,bc7230f231701d66,0,0,19,33,13,36,25,39,53,80,1,2,0,2,0,0,0,1,1:29,2:26,10,20,3,24,8,11,9,11,1,2,1,1,13,25,4,24,6,8,2,3,0,0,7,9
