date,system,division,rank,note,fighter,page,revid
2018-01-06,media,Bantamweight,0,,T.J. Dillashaw,T.J. Dillashaw,818905606
2018-01-06,media,Bantamweight,1,,Cody Garbrandt,Cody Garbrandt,818905606
2018-01-06,media,Bantamweight,2,,Dominick Cruz,Dominick Cruz,818905606
2018-01-06,media,Bantamweight,3,,Raphael Assunção,Raphael Assunção,818905606
2018-01-06,media,Bantamweight,4,,Jimmie Rivera,Jimmie Rivera,818905606
2018-01-06,media,Bantamweight,5,,Marlon Moraes,Marlon Moraes,818905606
2018-01-06,media,Bantamweight,6,,John Lineker,John Lineker,818905606
2018-01-06,media,Bantamweight,7,,Bryan Caraway,Bryan Caraway,818905606
2018-01-06,media,Bantamweight,8,,Aljamain Sterling,Aljamain Sterling,818905606
2018-01-06,media,Bantamweight,9,,John Dodson,John Dodson (fighter),818905606
2018-01-06,media,Bantamweight,10,,Thomas Almeida,Thomas Almeida,818905606
2018-01-06,media,Bantamweight,11,,Pedro Munhoz,Pedro Munhoz,818905606
2018-01-06,media,Bantamweight,12,,Eddie Wineland,Eddie Wineland,818905606
2018-01-06,media,Bantamweight,13,,Brett Johns,Brett Johns,818905606
2018-01-06,media,Bantamweight,14,,Rob Font,Rob Font,818905606
2018-01-06,media,Bantamweight,15,,Tim Elliott,Tim Elliott,818905606
2018-01-06,media,Featherweight,0,,Max Holloway,Max Holloway,818905606
2018-01-06,media,Featherweight,1,,José Aldo,José Aldo,818905606
2018-01-06,media,Featherweight,2,,Frankie Edgar,Frankie Edgar,818905606
2018-01-06,media,Featherweight,3,,Brian Ortega,Brian Ortega,818905606
2018-01-06,media,Featherweight,4,,Josh Emmett,Josh Emmett,818905606
2018-01-06,media,Featherweight,5,,Cub Swanson,Cub Swanson,818905606
2018-01-06,media,Featherweight,6,,Ricardo Lamas,Ricardo Lamas,818905606
2018-01-06,media,Featherweight,7,,Chan Sung Jung,The Korean Zombie,818905606
2018-01-06,media,Featherweight,8,,Yair Rodríguez,Yair Rodríguez,818905606
2018-01-06,media,Featherweight,9,,Jeremy Stephens,Jeremy Stephens,818905606
2018-01-06,media,Featherweight,10,,Darren Elkins,Darren Elkins,818905606
2018-01-06,media,Featherweight,11,,Dennis Bermudez,Dennis Bermudez,818905606
2018-01-06,media,Featherweight,12,,Renato Moicano,Renato Moicano,818905606
2018-01-06,media,Featherweight,13,,Doo ho Choi,Choi Doo-ho,818905606
2018-01-06,media,Featherweight,14,,Myles Jury,Myles Jury,818905606
2018-01-06,media,Featherweight,15,,Mirsad Bektić,Mirsad Bektić,818905606
2018-01-06,media,Flyweight,0,,Demetrious Johnson,Demetrious Johnson,818905606
2018-01-06,media,Flyweight,1,,Joseph Benavidez,Joseph Benavidez,818905606
2018-01-06,media,Flyweight,2,,Henry Cejudo,Henry Cejudo,818905606
2018-01-06,media,Flyweight,3,,Ray Borg,Ray Borg,818905606
2018-01-06,media,Flyweight,4,,Jussier Formiga,Jussier Formiga,818905606
2018-01-06,media,Flyweight,5,,Sergio Pettis,Sergio Pettis,818905606
2018-01-06,media,Flyweight,6,,Wilson Reis,Wilson Reis,818905606
2018-01-06,media,Flyweight,7,,Brandon Moreno,Brandon Moreno,818905606
2018-01-06,media,Flyweight,8,,Ben Nguyen,Ben Nguyen,818905606
2018-01-06,media,Flyweight,9,,John Moraga,John Moraga,818905606
2018-01-06,media,Flyweight,10,,Dustin Ortiz,Dustin Ortiz,818905606
2018-01-06,media,Flyweight,11,,Alexandre Pantoja,Alexandre Pantoja,818905606
2018-01-06,media,Flyweight,12,,Matheus Nicolau,Matheus Nicolau,818905606
2018-01-06,media,Flyweight,13,,Magomed Bibulatov,Magomed Bibulatov,818905606
2018-01-06,media,Flyweight,14,,Deiveson Figueiredo,,818905606
2018-01-06,media,Flyweight,15,,Louis Smolka,Louis Smolka,818905606
2018-01-06,media,Heavyweight,0,,Stipe Miocic,Stipe Miocic,818905606
2018-01-06,media,Heavyweight,1,,Francis Ngannou,Francis Ngannou,818905606
2018-01-06,media,Heavyweight,2,,Alistair Overeem,Alistair Overeem,818905606
2018-01-06,media,Heavyweight,3,,Fabrício Werdum,Fabrício Werdum,818905606
2018-01-06,media,Heavyweight,4,,Cain Velasquez,Cain Velasquez,818905606
2018-01-06,media,Heavyweight,5,,Mark Hunt,Mark Hunt,818905606
2018-01-06,media,Heavyweight,6,,Derrick Lewis,Derrick Lewis,818905606
2018-01-06,media,Heavyweight,7,,Alexander Volkov,Alexander Volkov (fighter),818905606
2018-01-06,media,Heavyweight,8,,Marcin Tybura,Marcin Tybura,818905606
2018-01-06,media,Heavyweight,9,,Curtis Blaydes,Curtis Blaydes,818905606
2018-01-06,media,Heavyweight,10,,Stefan Struve,Stefan Struve,818905606
2018-01-06,media,Heavyweight,11,,Aleksei Oleinik,Alexei Olejnik,818905606
2018-01-06,media,Heavyweight,12,,Andrei Arlovski,Andrei Arlovski,818905606
2018-01-06,media,Heavyweight,13,,Júnior Albini,Júnior Albini,818905606
2018-01-06,media,Heavyweight,14,,Travis Browne,Travis Browne,818905606
2018-01-06,media,Heavyweight,15,,Tim Johnson,Timothy Johnson (fighter),818905606
2018-01-06,media,Light Heavyweight,0,,Daniel Cormier,Daniel Cormier,818905606
2018-01-06,media,Light Heavyweight,1,,Alexander Gustafsson,Alexander Gustafsson,818905606
2018-01-06,media,Light Heavyweight,2,,Volkan Oezdemir,Volkan Oezdemir,818905606
2018-01-06,media,Light Heavyweight,3,,Glover Teixeira,Glover Teixeira,818905606
2018-01-06,media,Light Heavyweight,4,,Jimi Manuwa,Jimi Manuwa,818905606
2018-01-06,media,Light Heavyweight,5,,Ovince Saint Preux,Ovince Saint Preux,818905606
2018-01-06,media,Light Heavyweight,6,,Maurício Rua,Maurício Rua,818905606
2018-01-06,media,Light Heavyweight,7,,Misha Cirkunov,Misha Cirkunov,818905606
2018-01-06,media,Light Heavyweight,8,,Corey Anderson,Corey Anderson (fighter),818905606
2018-01-06,media,Light Heavyweight,9,,Ilir Latifi,Ilir Latifi,818905606
2018-01-06,media,Light Heavyweight,10,,Patrick Cummins,Patrick Cummins (fighter),818905606
2018-01-06,media,Light Heavyweight,11,,Antônio Rogério Nogueira,Antônio Rogério Nogueira,818905606
2018-01-06,media,Light Heavyweight,12,,Jan Błachowicz,Jan Błachowicz,818905606
2018-01-06,media,Light Heavyweight,13,,Tyson Pedro,Tyson Pedro,818905606
2018-01-06,media,Light Heavyweight,14,,Gadzhimurad Antigulov,Gadzhimurad Antigulov,818905606
2018-01-06,media,Light Heavyweight,15,,Jared Cannonier,Jared Cannonier,818905606
2018-01-06,media,Lightweight,0,,Conor McGregor,Conor McGregor,818905606
2018-01-06,media,Lightweight,1,,Tony Ferguson,Tony Ferguson,818905606
2018-01-06,media,Lightweight,2,,Khabib Nurmagomedov,Khabib Nurmagomedov,818905606
2018-01-06,media,Lightweight,3,,Eddie Alvarez,Eddie Alvarez,818905606
2018-01-06,media,Lightweight,4,,Edson Barboza,Edson Barboza,818905606
2018-01-06,media,Lightweight,5,,Justin Gaethje,Justin Gaethje,818905606
2018-01-06,media,Lightweight,6,,Dustin Poirier,Dustin Poirier,818905606
2018-01-06,media,Lightweight,7,,Kevin Lee,Kevin Lee,818905606
2018-01-06,media,Lightweight,8,,Nate Diaz,Nate Diaz,818905606
2018-01-06,media,Lightweight,9,,Michael Chiesa,Michael Chiesa,818905606
2018-01-06,media,Lightweight,10,,Michael Johnson,Michael Johnson (fighter),818905606
2018-01-06,media,Lightweight,11,,Al Iaquinta,Al Iaquinta,818905606
2018-01-06,media,Lightweight,12,,Beneil Dariush,Beneil Dariush,818905606
2018-01-06,media,Lightweight,13,,Anthony Pettis,Anthony Pettis,818905606
2018-01-06,media,Lightweight,14,,Francisco Trinaldo,Francisco Trinaldo,818905606
2018-01-06,media,Lightweight,14,,James Vick,James Vick,818905606
2018-01-06,media,Middleweight,0,,Robert Whittaker,Robert Whittaker (fighter),818905606
2018-01-06,media,Middleweight,1,,Yoel Romero,Yoel Romero,818905606
2018-01-06,media,Middleweight,2,,Luke Rockhold,Luke Rockhold,818905606
2018-01-06,media,Middleweight,3,,Ronaldo Souza,Ronaldo Souza,818905606
2018-01-06,media,Middleweight,4,,Georges St-Pierre,Georges St-Pierre,818905606
2018-01-06,media,Middleweight,5,,Chris Weidman,Chris Weidman,818905606
2018-01-06,media,Middleweight,6,,Kelvin Gastelum,Kelvin Gastelum,818905606
2018-01-06,media,Middleweight,7,,Michael Bisping,Michael Bisping,818905606
2018-01-06,media,Middleweight,8,,Derek Brunson,Derek Brunson,818905606
2018-01-06,media,Middleweight,9,,Anderson Silva,Anderson Silva,818905606
2018-01-06,media,Middleweight,10,,David Branch,David Branch (fighter),818905606
2018-01-06,media,Middleweight,11,,Vitor Belfort,Vitor Belfort,818905606
2018-01-06,media,Middleweight,12,,Uriah Hall,Uriah Hall,818905606
2018-01-06,media,Middleweight,13,,Krzysztof Jotko,Krzysztof Jotko,818905606
2018-01-06,media,Middleweight,14,,Lyoto Machida,Lyoto Machida,818905606
2018-01-06,media,Middleweight,15,,Paulo Costa,Paulo Costa,818905606
2018-01-06,media,Welterweight,0,,Tyron Woodley,Tyron Woodley,818905606
2018-01-06,media,Welterweight,1,,Stephen Thompson,Stephen Thompson (fighter),818905606
2018-01-06,media,Welterweight,2,,Rafael dos Anjos,Rafael dos Anjos,818905606
2018-01-06,media,Welterweight,3,,Colby Covington,Colby Covington,818905606
2018-01-06,media,Welterweight,4,,Robbie Lawler,Robbie Lawler,818905606
2018-01-06,media,Welterweight,5,,Demian Maia,Demian Maia,818905606
2018-01-06,media,Welterweight,6,,Jorge Masvidal,Jorge Masvidal,818905606
2018-01-06,media,Welterweight,7,,Darren Till,Darren Till,818905606
2018-01-06,media,Welterweight,8,,Neil Magny,Neil Magny,818905606
2018-01-06,media,Welterweight,9,,Santiago Ponzinibbio,Santiago Ponzinibbio,818905606
2018-01-06,media,Welterweight,10,,Kamaru Usman,Kamaru Usman,818905606
2018-01-06,media,Welterweight,11,,Donald Cerrone,Donald Cerrone,818905606
2018-01-06,media,Welterweight,12,,Carlos Condit,Carlos Condit,818905606
2018-01-06,media,Welterweight,13,,Gunnar Nelson,Gunnar Nelson (fighter),818905606
2018-01-06,media,Welterweight,14,,Dong Hyun Kim,Dong Hyun Kim,818905606
2018-01-06,media,Welterweight,15,,Yancy Medeiros,Yancy Medeiros,818905606
2018-01-06,media,Women's Bantamweight,0,,Amanda Nunes,Amanda Nunes,818905606
2018-01-06,media,Women's Bantamweight,1,,Valentina Shevchenko,Valentina Shevchenko,818905606
2018-01-06,media,Women's Bantamweight,2,,Holly Holm,Holly Holm,818905606
2018-01-06,media,Women's Bantamweight,3,,Julianna Peña,Julianna Peña,818905606
2018-01-06,media,Women's Bantamweight,4,,Raquel Pennington,Raquel Pennington,818905606
2018-01-06,media,Women's Bantamweight,5,,Germaine de Randamie,Germaine de Randamie,818905606
2018-01-06,media,Women's Bantamweight,6,,Cat Zingano,Cat Zingano,818905606
2018-01-06,media,Women's Bantamweight,6,,Ketlen Vieira,Ketlen Vieira,818905606
2018-01-06,media,Women's Bantamweight,8,,Sara McMann,Sara McMann,818905606
2018-01-06,media,Women's Bantamweight,9,,Ronda Rousey,Ronda Rousey,818905606
2018-01-06,media,Women's Bantamweight,10,,Marion Reneau,Marion Reneau,818905606
2018-01-06,media,Women's Bantamweight,11,,Katlyn Chookagian,Katlyn Cerminara,818905606
2018-01-06,media,Women's Bantamweight,12,,Bethe Correia,Bethe Correia,818905606
2018-01-06,media,Women's Bantamweight,13,,Leslie Smith,Leslie Smith (fighter),818905606
2018-01-06,media,Women's Bantamweight,14,,Aspen Ladd,Aspen Ladd,818905606
2018-01-06,media,Women's Bantamweight,15,,Sarah Moras,Sarah Moras,818905606
2018-01-06,media,Women's Featherweight,0,,Cris Cyborg,Cris Cyborg,818905606
2018-01-06,media,Women's Featherweight,1,,Megan Anderson,Megan Anderson,818905606
2018-01-06,media,Women's Featherweight,2,,Tonya Evinger,Tonya Evinger,818905606
2018-01-06,media,Women's Featherweight,3,,Holly Holm,Holly Holm,818905606
2018-01-06,media,Women's Featherweight,4,,Germaine de Randamie,Germaine de Randamie,818905606
2018-01-06,media,Women's Flyweight,0,,Nicco Montaño,Nicco Montaño,818905606
2018-01-06,media,Women's Flyweight,1,,Sijara Eubanks,Sijara Eubanks,818905606
2018-01-06,media,Women's Flyweight,2,,Lauren Murphy,Lauren Murphy,818905606
2018-01-06,media,Women's Flyweight,3,,Alexis Davis,Alexis Davis (fighter),818905606
2018-01-06,media,Women's Flyweight,4,,Roxanne Modafferi,Roxanne Modafferi,818905606
2018-01-06,media,Women's Flyweight,5,,Barb Honchak,Barb Honchak,818905606
2018-01-06,media,Women's Flyweight,6,,Liz Carmouche,Liz Carmouche,818905606
2018-01-06,media,Women's Flyweight,7,,Montana De La Rosa,,818905606
2018-01-06,media,Women's Flyweight,8,,Rachael Ostovich,Rachael Ostovich,818905606
2018-01-06,media,Women's Flyweight,9,,Mara Romero Borella,,818905606
2018-01-06,media,Women's Flyweight,10,,Jessica Rose Clark,Jessica-Rose Clark,818905606
2018-01-06,media,Women's Flyweight,11,,Shana Dobson,,818905606
2018-01-06,media,Women's Flyweight,12,,Gillian Robertson,,818905606
2018-01-06,media,Women's Flyweight,13,,Kalindra Faria,,818905606
2018-01-06,media,Women's Flyweight,14,,Bec Rawlings,Bec Rawlings,818905606
