fighter_id,fighter,dob,height_cm,reach_cm,stance,division,first_ufc_fight,last_ufc_fight,ufc_wins,ufc_losses,ufc_draws,ufc_no_contests,elo,wikipedia_page,pro_wins,pro_losses,pro_draws,pro_fights_before_ufc
d1053e55f00e53fe,AJ Cunningham,1994-09-07,177.8,180.3,Orthodox,Bantamweight,2024-03-02,2025-03-15,0,2,0,0,1436.2,,,,,
009c4420727149ea,AJ Dobson,1992-01-18,185.4,193.0,Orthodox,Middleweight,2022-02-12,2024-03-23,1,3,0,0,1434.4,,,,,
725b1abc9a39d873,AJ Fletcher,1997-02-18,177.8,170.2,Switch,Welterweight,2022-03-12,2023-09-23,1,3,0,0,1448.4,,,,,
003d82fa384ca1d0,Aalon Cruz,1989-09-20,182.9,198.1,Switch,Lightweight,2020-02-29,2021-03-06,0,2,0,0,1424.6,,,,,
cf1a88371c8cb690,Aaron Brink,1974-11-12,190.5,,Orthodox,Heavyweight,2000-11-17,2000-11-17,0,1,0,0,1460.0,Aaron Brink,29,27,0,11
34c2b3656f88f7ef,Aaron Phillips,1989-08-05,175.3,180.3,Southpaw,Bantamweight,2014-05-24,2023-04-15,0,4,0,0,1361.6,Aaron Phillips (fighter),12,6,0,7
5537efc6e496dd84,Aaron Pico,1996-09-23,172.7,177.8,Orthodox,Featherweight,2025-08-16,2026-04-11,1,1,0,0,1532.5,Aaron Pico,14,5,0,17
f2c8ebbeafd45f2b,Aaron Riley,1980-12-09,172.7,175.3,Southpaw,Lightweight,2002-05-10,2013-07-27,3,6,0,0,1445.7,Aaron Riley,30,14,1,22
11f8860028b68fcf,Aaron Rosa,1983-05-28,193.0,195.6,Orthodox,Light Heavyweight,2011-06-11,2012-03-02,1,2,0,0,1447.5,Aaron Rosa,18,7,0,19
d5f820c11a121050,Aaron Simpson,1974-07-20,182.9,185.4,Orthodox,Welterweight,2009-04-01,2012-10-05,7,4,0,0,1583.0,Aaron Simpson (fighter),12,5,0,5
338a11d3674eb2d4,Aaron Wilkinson,1987-01-31,177.8,,Orthodox,Lightweight,2010-12-04,2010-12-04,0,1,0,0,1460.0,,,,,
0e6bc8d1d6c0ad90,Abdul Hussein,1997-08-02,170.2,170.2,Orthodox,Bantamweight,2026-07-25,2026-07-25,1,0,0,0,1528.9,Abdul Hussein,15,2,0,16
95aff2fd8d09a5f0,Abdul Rakhman Yakhyaev,2001-01-03,188.0,198.1,Orthodox,Light Heavyweight,2025-11-22,2026-06-27,3,0,0,0,1592.0,,,,,
eae431e70064e046,Abdul Razak Alhassan,1985-08-11,177.8,185.4,Orthodox,Middleweight,2016-11-19,2025-01-11,6,7,0,1,1471.0,Abdul Razak Alhassan,12,6,0,6
597499ac7a5aac62,Abdul-Kareem Al-Selwady,1995-04-10,172.7,175.3,Orthodox,Lightweight,2024-03-02,2026-03-21,1,1,0,0,1500.9,,,,,
37e03538c960bac6,Abdul-Kerim Edilov,1991-11-25,188.0,,Orthodox,Light Heavyweight,2017-09-02,2017-09-02,1,0,0,0,1531.8,Abdul-Kerim Edilov,17,4,0,19
