fight_id,event_id,event,date,location,division,weight_class,title_fight,scheduled_rounds,time_format,r_fighter_id,r_fighter,b_fighter_id,b_fighter,outcome,winner_id,method,method_group,finish_round,finish_time,fight_seconds,details,referee,bonuses,judge1,judge1_r_score,judge1_b_score,judge2,judge2_r_score,judge2_b_score,judge3,judge3_r_score,judge3_b_score,r_odds,b_odds,odds_source,r_rank,b_rank,r_meta_rank,b_meta_rank,r_kd,r_sig_landed,r_sig_att,r_str_landed,r_str_att,r_td_landed,r_td_att,r_sub_att,r_rev,r_ctrl_sec,r_head_landed,r_head_att,r_body_landed,r_body_att,r_leg_landed,r_leg_att,r_distance_landed,r_distance_att,r_clinch_landed,r_clinch_att,r_ground_landed,r_ground_att,b_kd,b_sig_landed,b_sig_att,b_str_landed,b_str_att,b_td_landed,b_td_att,b_sub_att,b_rev,b_ctrl_sec,b_head_landed,b_head_att,b_body_landed,b_body_att,b_leg_landed,b_leg_att,b_distance_landed,b_distance_att,b_clinch_landed,b_clinch_att,b_ground_landed,b_ground_att
00b0796724ec1c09,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,6ceff86fae4f6b3b,Jason DeLucia,02fc8f50f56eb307,Trent Jenkins,r,6ceff86fae4f6b3b,Submission,Submission,1,0:52,52,Rear Naked Choke,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,3,9,3,9,1,2,1,0,,3,7,0,1,0,1,3,9,0,0,0,0,0,1,7,1,7,0,0,0,0,,0,5,0,1,1,1,1,7,0,0,0,0
2d2bbc86e941e05c,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,598a58db87b890ee,Kevin Rosier,d3711d3784b76255,Zane Frazier,r,598a58db87b890ee,KO/TKO,KO/TKO,1,4:20,260,to Corner Stoppage,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,2,15,27,38,53,0,0,0,0,,12,23,3,4,0,0,4,10,4,9,7,8,0,12,28,13,29,0,0,0,0,,7,19,3,6,2,3,0,7,10,19,2,2
46acd54cc0c905fb,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,63b65af1c5cb02cb,Ken Shamrock,46c8ec317aff28ac,Patrick Smith,r,63b65af1c5cb02cb,Submission,Submission,1,1:49,109,Heel Hook From Guard,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,1,1,4,4,1,2,2,0,,1,1,0,0,0,0,0,0,0,0,1,1,0,4,8,16,20,0,0,0,0,,1,4,1,1,2,3,1,1,1,1,2,6
567a09fd200cfa05,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,279093302a6f44b3,Gerard Gordeau,96eff1a628adcc7f,Teila Tuli,r,279093302a6f44b3,KO/TKO,KO/TKO,1,0:26,26,Kick to Head On Ground,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,3,5,3,5,0,0,0,0,,3,5,0,0,0,0,1,3,0,0,2,2,0,0,1,0,1,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,0
64139d1d505e46c5,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,1 Tournament,1,1,No Time Limit,429e7d3725852ce9,Royce Gracie,279093302a6f44b3,Gerard Gordeau,r,429e7d3725852ce9,Submission,Submission,1,1:44,104,Rear Naked Choke,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,1,2,3,4,1,3,1,0,,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
ac7ca2ec38b96c1a,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,279093302a6f44b3,Gerard Gordeau,598a58db87b890ee,Kevin Rosier,r,279093302a6f44b3,KO/TKO,KO/TKO,1,0:59,59,to Corner Stoppage,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,1,11,17,11,17,0,0,0,0,,7,13,1,1,3,3,5,8,0,0,6,9,0,0,3,0,3,0,0,0,0,,0,1,0,1,0,1,0,3,0,0,0,0
cecdc0da584274b9,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,429e7d3725852ce9,Royce Gracie,a5c53b3ddb31cc7d,Art Jimmerson,r,429e7d3725852ce9,Submission,Submission,1,2:18,138,Other Position - Mount,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,0,3,4,7,1,1,0,0,,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
ffd16691c4c4aafc,6420efac0578988b,UFC 1: The Beginning,1993-11-12,,,Open Weight,0,1,No Time Limit,429e7d3725852ce9,Royce Gracie,63b65af1c5cb02cb,Ken Shamrock,r,429e7d3725852ce9,Submission,Submission,1,0:57,57,Rear Naked Choke,Joao Alberto Barreto,,,,,,,,,,,,,,,,,,0,0,0,12,12,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
00835554f95fa911,a6a9ab5a824e8f66,UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",,2 Tournament,1,1,No Time Limit,429e7d3725852ce9,Royce Gracie,46c8ec317aff28ac,Patrick Smith,r,429e7d3725852ce9,KO/TKO,KO/TKO,1,1:17,77,Punches to Head From Mount Submission to Strikes,John McCarthy,,,,,,,,,,,,,,,,,,0,4,4,11,11,1,2,0,0,,3,3,0,0,1,1,0,0,1,1,3,3,0,1,2,2,3,0,0,0,0,,0,0,1,2,0,0,0,1,1,1,0,0
17ee4caf06981b81,a6a9ab5a824e8f66,UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",,Open Weight,0,1,No Time Limit,749685d24e2cac50,Remco Pardoel,6e02c318762f52f1,Alberta Cerra Leon,r,749685d24e2cac50,Submission,Submission,1,9:51,591,Ezekiel Choke From Side Control,John McCarthy,,,,,,,,,,,,,,,,,,0,4,6,20,22,1,1,1,0,,4,5,0,0,0,1,0,1,0,0,4,5,0,1,3,9,11,0,0,0,0,,1,3,0,0,0,0,1,1,0,0,0,2
