date,system,division,rank,note,fighter,fighter_id
2018-01-06,media,Bantamweight,0,,T.J. Dillashaw,c849740a3ff51931
2018-01-06,media,Bantamweight,1,,Cody Garbrandt,d8c7c61b176e3994
2018-01-06,media,Bantamweight,2,,Dominick Cruz,10f3ba6cd2f44a97
2018-01-06,media,Bantamweight,3,,Raphael Assunção,2f13e4020cea5b38
2018-01-06,media,Bantamweight,4,,Jimmie Rivera,9c907996820d2d69
2018-01-06,media,Bantamweight,5,,Marlon Moraes,fea79f9bc8c68769
2018-01-06,media,Bantamweight,6,,John Lineker,c268b2cfebccf652
2018-01-06,media,Bantamweight,7,,Bryan Caraway,5ef0088c1b19beeb
2018-01-06,media,Bantamweight,8,,Aljamain Sterling,cb696ebfb6598724
2018-01-06,media,Bantamweight,9,,John Dodson,99506df1af6c8b3b
2018-01-06,media,Bantamweight,10,,Thomas Almeida,2b074403b7c6cdb4
2018-01-06,media,Bantamweight,11,,Pedro Munhoz,6bd02119599741a4
2018-01-06,media,Bantamweight,12,,Eddie Wineland,fc9a9559a05f2704
2018-01-06,media,Bantamweight,13,,Brett Johns,ec52462a1b41f714
2018-01-06,media,Bantamweight,14,,Rob Font,05339613bf8e9808
2018-01-06,media,Bantamweight,15,,Tim Elliott,c96d9178c9ed9e62
2018-01-06,media,Featherweight,0,,Max Holloway,150ff4cc642270b9
2018-01-06,media,Featherweight,1,,José Aldo,d0f3959b4a9747e6
2018-01-06,media,Featherweight,2,,Frankie Edgar,f2688492b9a525a3
2018-01-06,media,Featherweight,3,,Brian Ortega,def8166ff24bd237
2018-01-06,media,Featherweight,4,,Josh Emmett,fba03cd6cc28dc41
2018-01-06,media,Featherweight,5,,Cub Swanson,d247691a6c0e9034
2018-01-06,media,Featherweight,6,,Ricardo Lamas,3974fa35c917af1d
2018-01-06,media,Featherweight,7,,Chan Sung Jung,c451d67c09c55418
2018-01-06,media,Featherweight,8,,Yair Rodríguez,cbf5e6f231b55443
2018-01-06,media,Featherweight,9,,Jeremy Stephens,18968f97ad34f15c
2018-01-06,media,Featherweight,10,,Darren Elkins,92a9aa9c93192871
2018-01-06,media,Featherweight,11,,Dennis Bermudez,6f242453c91a5af0
2018-01-06,media,Featherweight,12,,Renato Moicano,b6452706b373eea1
2018-01-06,media,Featherweight,13,,Doo ho Choi,e93b04e308913c2e
2018-01-06,media,Featherweight,14,,Myles Jury,08e908ed6d18d6a0
2018-01-06,media,Featherweight,15,,Mirsad Bektić,cbd3e590a85b18c5
2018-01-06,media,Flyweight,0,,Demetrious Johnson,8a304bfd6bf04a57
2018-01-06,media,Flyweight,1,,Joseph Benavidez,80eacd4da0617c57
2018-01-06,media,Flyweight,2,,Henry Cejudo,056c493bbd76a918
2018-01-06,media,Flyweight,3,,Ray Borg,a4de54ea806fb525
2018-01-06,media,Flyweight,4,,Jussier Formiga,b102c26727306ab6
2018-01-06,media,Flyweight,5,,Sergio Pettis,de75d1c45a39e221
2018-01-06,media,Flyweight,6,,Wilson Reis,5aedf14771ca82d2
2018-01-06,media,Flyweight,7,,Brandon Moreno,792be9a24df82ed6
2018-01-06,media,Flyweight,8,,Ben Nguyen,840d2c82ea68b9aa
2018-01-06,media,Flyweight,9,,John Moraga,92437c6775b3f7d1
2018-01-06,media,Flyweight,10,,Dustin Ortiz,f53c1f4ceeed8c08
2018-01-06,media,Flyweight,11,,Alexandre Pantoja,a0f0004aadf10b71
2018-01-06,media,Flyweight,12,,Matheus Nicolau,1a31ef98efce7a79
2018-01-06,media,Flyweight,13,,Magomed Bibulatov,87f19d19f4cb73f8
2018-01-06,media,Flyweight,14,,Deiveson Figueiredo,aa72b0f831d0bfe5
2018-01-06,media,Flyweight,15,,Louis Smolka,d2bc285ead803db0
2018-01-06,media,Heavyweight,0,,Stipe Miocic,d28dee5c705991df
2018-01-06,media,Heavyweight,1,,Francis Ngannou,8d03ce87ca14e778
2018-01-06,media,Heavyweight,2,,Alistair Overeem,b4ad3a06ee4d660c
2018-01-06,media,Heavyweight,3,,Fabrício Werdum,492b202d2064e7a9
2018-01-06,media,Heavyweight,4,,Cain Velasquez,0ff11cc094e887bc
2018-01-06,media,Heavyweight,5,,Mark Hunt,eef9b891edbd4604
2018-01-06,media,Heavyweight,6,,Derrick Lewis,d3df1add9d9a7efb
2018-01-06,media,Heavyweight,7,,Alexander Volkov,279566840aa55bf2
2018-01-06,media,Heavyweight,8,,Marcin Tybura,c9cf753cfdf77fc2
2018-01-06,media,Heavyweight,9,,Curtis Blaydes,fa6796c55d6c5440
2018-01-06,media,Heavyweight,10,,Stefan Struve,ebc1f40e00e0c481
2018-01-06,media,Heavyweight,11,,Aleksei Oleinik,98c23cb6da5b3352
2018-01-06,media,Heavyweight,12,,Andrei Arlovski,3738e68d2261e60f
2018-01-06,media,Heavyweight,13,,Júnior Albini,c482c8605455a213
2018-01-06,media,Heavyweight,14,,Travis Browne,3236bf606fe9fa5b
2018-01-06,media,Heavyweight,15,,Tim Johnson,cc900af167fbedfd
2018-01-06,media,Light Heavyweight,0,,Daniel Cormier,d967f0128c323de6
2018-01-06,media,Light Heavyweight,1,,Alexander Gustafsson,3c6976f8182d9527
2018-01-06,media,Light Heavyweight,2,,Volkan Oezdemir,0845c81e37d3bcb3
2018-01-06,media,Light Heavyweight,3,,Glover Teixeira,7ff97850e8c32bda
2018-01-06,media,Light Heavyweight,4,,Jimi Manuwa,1e1dbd1cc5a7469e
2018-01-06,media,Light Heavyweight,5,,Ovince Saint Preux,50db8711c70196cd
2018-01-06,media,Light Heavyweight,6,,Maurício Rua,140745cbbcb023ac
2018-01-06,media,Light Heavyweight,7,,Misha Cirkunov,67f272324a030d00
2018-01-06,media,Light Heavyweight,8,,Corey Anderson,5e4eec08896c9423
2018-01-06,media,Light Heavyweight,9,,Ilir Latifi,e9a3aeb207578eea
2018-01-06,media,Light Heavyweight,10,,Patrick Cummins,e51e5cb722bd47a8
2018-01-06,media,Light Heavyweight,11,,Antônio Rogério Nogueira,73e09f837f3b5ecc
2018-01-06,media,Light Heavyweight,12,,Jan Błachowicz,99df7d0a2a08a8a8
2018-01-06,media,Light Heavyweight,13,,Tyson Pedro,49e96ff8ab781589
2018-01-06,media,Light Heavyweight,14,,Gadzhimurad Antigulov,af997f7611673880
2018-01-06,media,Light Heavyweight,15,,Jared Cannonier,13a0275fa13c4d26
2018-01-06,media,Lightweight,0,,Conor McGregor,f4c49976c75c5ab2
2018-01-06,media,Lightweight,1,,Tony Ferguson,22a92d7f62195791
2018-01-06,media,Lightweight,2,,Khabib Nurmagomedov,032cc3922d871c7f
2018-01-06,media,Lightweight,3,,Eddie Alvarez,33a331684283900f
2018-01-06,media,Lightweight,4,,Edson Barboza,64a50dad704d1d49
2018-01-06,media,Lightweight,5,,Justin Gaethje,9e8f6c728eb01124
2018-01-06,media,Lightweight,6,,Dustin Poirier,029eaff01e6bb8f0
2018-01-06,media,Lightweight,7,,Kevin Lee,ee9ebceabfd16fa7
2018-01-06,media,Lightweight,8,,Nate Diaz,8355922d564b152c
2018-01-06,media,Lightweight,9,,Michael Chiesa,c58f51dedb310998
2018-01-06,media,Lightweight,10,,Michael Johnson,511e82663651438d
2018-01-06,media,Lightweight,11,,Al Iaquinta,59279a7c978f7da0
2018-01-06,media,Lightweight,12,,Beneil Dariush,08af939f41b5a57b
2018-01-06,media,Lightweight,13,,Anthony Pettis,cbb682f5fcc44bfc
2018-01-06,media,Lightweight,14,,Francisco Trinaldo,a8283a4f415e1eb9
2018-01-06,media,Lightweight,14,,James Vick,6256b2b1562cb8e1
2018-01-06,media,Middleweight,0,,Robert Whittaker,e1147d3d2dabe1ce
2018-01-06,media,Middleweight,1,,Yoel Romero,f77c68bb4be8516d
2018-01-06,media,Middleweight,2,,Luke Rockhold,00e11b5c8b7bfeeb
2018-01-06,media,Middleweight,3,,Ronaldo Souza,7a703c565ccaa18f
2018-01-06,media,Middleweight,4,,Georges St-Pierre,6506c1d34da9c013
2018-01-06,media,Middleweight,5,,Chris Weidman,3a8176e15b9887c1
2018-01-06,media,Middleweight,6,,Kelvin Gastelum,8c0580d4fff106c1
2018-01-06,media,Middleweight,7,,Michael Bisping,2b93ebd9f5417ad2
2018-01-06,media,Middleweight,8,,Derek Brunson,b1a3e0aca758b322
2018-01-06,media,Middleweight,9,,Anderson Silva,1f454354805b6f75
2018-01-06,media,Middleweight,10,,David Branch,d2c55d1d2e67773b
2018-01-06,media,Middleweight,11,,Vitor Belfort,0ee783aa00e468f0
2018-01-06,media,Middleweight,12,,Uriah Hall,65578a75fa7900e3
2018-01-06,media,Middleweight,13,,Krzysztof Jotko,4e06913c91da5200
2018-01-06,media,Middleweight,14,,Lyoto Machida,f7a7f7118d4b01b6
2018-01-06,media,Middleweight,15,,Paulo Costa,2e5c2aa8e4ab9d82
2018-01-06,media,Welterweight,0,,Tyron Woodley,effd9de9937996f8
2018-01-06,media,Welterweight,1,,Stephen Thompson,4a28cb716c19157a
2018-01-06,media,Welterweight,2,,Rafael dos Anjos,6a2f7c151031653d
2018-01-06,media,Welterweight,3,,Colby Covington,dc9572dd6ec74859
2018-01-06,media,Welterweight,4,,Robbie Lawler,f2925e6db404bf1d
2018-01-06,media,Welterweight,5,,Demian Maia,427b5953ac8e3a27
2018-01-06,media,Welterweight,6,,Jorge Masvidal,47b9e0e7703a4868
2018-01-06,media,Welterweight,7,,Darren Till,9ce6d5a03af801b7
2018-01-06,media,Welterweight,8,,Neil Magny,84b3e7d38f2d2ec5
2018-01-06,media,Welterweight,9,,Santiago Ponzinibbio,6d1bffff14897645
2018-01-06,media,Welterweight,10,,Kamaru Usman,f1b2aa7853d1ed6e
2018-01-06,media,Welterweight,11,,Donald Cerrone,1d00756835ca67c9
2018-01-06,media,Welterweight,12,,Carlos Condit,f9f07bb5a43535ed
2018-01-06,media,Welterweight,13,,Gunnar Nelson,fd55393021a8c255
2018-01-06,media,Welterweight,14,,Dong Hyun Kim,9bcf8603ceb25680
2018-01-06,media,Welterweight,15,,Yancy Medeiros,813550bc53b15fb0
2018-01-06,media,Women's Bantamweight,0,,Amanda Nunes,80fa8218c99f9c58
2018-01-06,media,Women's Bantamweight,1,,Valentina Shevchenko,132deb59abae64b1
2018-01-06,media,Women's Bantamweight,2,,Holly Holm,634e2fb70bde3fd5
2018-01-06,media,Women's Bantamweight,3,,Julianna Peña,3253b16d38ae087d
2018-01-06,media,Women's Bantamweight,4,,Raquel Pennington,fc169c387b4b465d
2018-01-06,media,Women's Bantamweight,5,,Germaine de Randamie,1d239d571e342453
2018-01-06,media,Women's Bantamweight,6,,Cat Zingano,3ecd936bd8814108
2018-01-06,media,Women's Bantamweight,6,,Ketlen Vieira,b9706f80d005036c
2018-01-06,media,Women's Bantamweight,8,,Sara McMann,7be74a12d7352df2
2018-01-06,media,Women's Bantamweight,9,,Ronda Rousey,8bdac25ce0bb874d
2018-01-06,media,Women's Bantamweight,10,,Marion Reneau,c7d297714d9ab1a4
2018-01-06,media,Women's Bantamweight,11,,Katlyn Chookagian,e872e9a9a902c045
2018-01-06,media,Women's Bantamweight,12,,Bethe Correia,673ea7dcc786b1b3
2018-01-06,media,Women's Bantamweight,13,,Leslie Smith,76984112f697631f
2018-01-06,media,Women's Bantamweight,14,,Aspen Ladd,d4691518d012b9e7
2018-01-06,media,Women's Bantamweight,15,,Sarah Moras,539ed332b3078821
2018-01-06,media,Women's Featherweight,0,,Cris Cyborg,634bb0de2eb043b4
2018-01-06,media,Women's Featherweight,1,,Megan Anderson,a0e75f4a13eb73f1
2018-01-06,media,Women's Featherweight,2,,Tonya Evinger,b12a1d19ee383b7c
2018-01-06,media,Women's Featherweight,3,,Holly Holm,634e2fb70bde3fd5
2018-01-06,media,Women's Featherweight,4,,Germaine de Randamie,1d239d571e342453
2018-01-06,media,Women's Flyweight,0,,Nicco Montaño,1de9ad94de18eeaf
2018-01-06,media,Women's Flyweight,1,,Sijara Eubanks,4234f0097c83fa62
2018-01-06,media,Women's Flyweight,2,,Lauren Murphy,729d4bd5a6cd0a97
2018-01-06,media,Women's Flyweight,3,,Alexis Davis,4c2d90e335e6df19
2018-01-06,media,Women's Flyweight,4,,Roxanne Modafferi,4498b382c65a7faa
2018-01-06,media,Women's Flyweight,5,,Barb Honchak,472f6f6e6d962f40
2018-01-06,media,Women's Flyweight,6,,Liz Carmouche,51a0c09cbe9b8472
2018-01-06,media,Women's Flyweight,7,,Montana De La Rosa,80d8aed0ca9b00f3
2018-01-06,media,Women's Flyweight,8,,Rachael Ostovich,01784fbc27c68b14
2018-01-06,media,Women's Flyweight,9,,Mara Romero Borella,82cbb809d5ee565c
2018-01-06,media,Women's Flyweight,10,,Jessica Rose Clark,6c8072b61c276e67
2018-01-06,media,Women's Flyweight,11,,Shana Dobson,122ac9b816d8b71c
2018-01-06,media,Women's Flyweight,12,,Gillian Robertson,38c7f72747f4f712
2018-01-06,media,Women's Flyweight,13,,Kalindra Faria,27b164b0d1833df0
2018-01-06,media,Women's Flyweight,14,,Bec Rawlings,907e60fd13407e1e
2018-01-06,media,Women's Flyweight,15,,Melinda Fabian,8c020156779f7888
2018-01-06,media,Women's Strawweight,0,,Rose Namajunas,47b63240018d5d86
2018-01-06,media,Women's Strawweight,1,,Joanna Jedrzejczyk,3d6749c4267da18f
2018-01-06,media,Women's Strawweight,2,,Jéssica Andrade,6a1901c62ab3870f
2018-01-06,media,Women's Strawweight,3,,Cláudia Gadelha,ec34349e7dffcde7
2018-01-06,media,Women's Strawweight,4,,Karolina Kowalkiewicz,d7c3816669784109
2018-01-06,media,Women's Strawweight,5,,Tecia Torres,31ef8b67e13495b3
2018-01-06,media,Women's Strawweight,6,,Carla Esparza,d910665038efc639
2018-01-06,media,Women's Strawweight,7,,Michelle Waterson,eb04b9d31e938edb
2018-01-06,media,Women's Strawweight,8,,Cynthia Calvillo,98215d037be5bcb7
2018-01-06,media,Women's Strawweight,9,,Felice Herrig,b6850671a008bf9a
2018-01-06,media,Women's Strawweight,10,,Alexa Grasso,e8b731feff72294b
2018-01-06,media,Women's Strawweight,11,,Cortney Casey,5f179af5fffeb9f6
2018-01-06,media,Women's Strawweight,11,,Paige VanZant,4d5197f331c47290
2018-01-06,media,Women's Strawweight,13,,Randa Markos,4a57ebb14315b251
