fight_id,date,round,seconds,r_fighter_id,b_fighter_id,r_kd,r_sig_landed,r_sig_att,r_str_landed,r_str_att,r_td_landed,r_td_att,r_sub_att,r_rev,r_head_landed,r_head_att,r_body_landed,r_body_att,r_leg_landed,r_leg_att,r_distance_landed,r_distance_att,r_clinch_landed,r_clinch_att,r_ground_landed,r_ground_att,r_ctrl_sec,b_kd,b_sig_landed,b_sig_att,b_str_landed,b_str_att,b_td_landed,b_td_att,b_sub_att,b_rev,b_head_landed,b_head_att,b_body_landed,b_body_att,b_leg_landed,b_leg_att,b_distance_landed,b_distance_att,b_clinch_landed,b_clinch_att,b_ground_landed,b_ground_att,b_ctrl_sec
00b0796724ec1c09,1993-11-12,1,52,6ceff86fae4f6b3b,02fc8f50f56eb307,0,3,9,3,9,1,2,1,0,3,7,0,1,0,1,3,9,0,0,0,0,,0,1,7,1,7,0,0,0,0,0,5,0,1,1,1,1,7,0,0,0,0,
2d2bbc86e941e05c,1993-11-12,1,260,598a58db87b890ee,d3711d3784b76255,2,15,27,38,53,0,0,0,0,12,23,3,4,0,0,4,10,4,9,7,8,,0,12,28,13,29,0,0,0,0,7,19,3,6,2,3,0,7,10,19,2,2,
46acd54cc0c905fb,1993-11-12,1,109,63b65af1c5cb02cb,46c8ec317aff28ac,0,1,1,4,4,1,2,2,0,1,1,0,0,0,0,0,0,0,0,1,1,,0,4,8,16,20,0,0,0,0,1,4,1,1,2,3,1,1,1,1,2,6,
567a09fd200cfa05,1993-11-12,1,26,279093302a6f44b3,96eff1a628adcc7f,0,3,5,3,5,0,0,0,0,3,5,0,0,0,0,1,3,0,0,2,2,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
64139d1d505e46c5,1993-11-12,1,104,429e7d3725852ce9,279093302a6f44b3,0,1,2,3,4,1,3,1,0,1,1,0,0,0,1,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ac7ca2ec38b96c1a,1993-11-12,1,59,279093302a6f44b3,598a58db87b890ee,1,11,17,11,17,0,0,0,0,7,13,1,1,3,3,5,8,0,0,6,9,,0,0,3,0,3,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,
cecdc0da584274b9,1993-11-12,1,138,429e7d3725852ce9,a5c53b3ddb31cc7d,0,0,3,4,7,1,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ffd16691c4c4aafc,1993-11-12,1,57,429e7d3725852ce9,63b65af1c5cb02cb,0,0,0,12,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00835554f95fa911,1994-03-11,1,77,429e7d3725852ce9,46c8ec317aff28ac,0,4,4,11,11,1,2,0,0,3,3,0,0,1,1,0,0,1,1,3,3,,0,1,2,2,3,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,
17ee4caf06981b81,1994-03-11,1,591,749685d24e2cac50,6e02c318762f52f1,0,4,6,20,22,1,1,1,0,4,5,0,0,0,1,0,1,0,0,4,5,,0,1,3,9,11,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,2,
3b020d4914b44fc8,1994-03-11,1,170,a6c2f5381d575920,96087e90d900f0ef,0,8,12,11,15,0,0,0,0,7,11,1,1,0,0,1,3,0,0,7,9,,0,2,6,2,6,1,1,1,0,1,2,0,1,1,3,2,6,0,0,0,0,
4acab67848e78327,1994-03-11,1,20,be9d259be012e8a4,a683f9ddb70aa4bd,0,1,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,,0,0,4,1,5,0,0,0,0,0,2,0,0,0,2,0,3,0,1,0,0,
4b9ae533ccb3fcdf,1994-03-11,1,58,46c8ec317aff28ac,ea0ad155451ed1f5,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,
5655639baecd8f6a,1994-03-11,1,67,429e7d3725852ce9,6ceff86fae4f6b3b,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8ea72cf82fac07f6,1994-03-11,1,30,46c8ec317aff28ac,be9d259be012e8a4,0,13,17,19,25,0,0,0,0,12,16,1,1,0,0,0,0,1,1,12,16,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8fbdde20b712b8da,1994-03-11,1,67,46c8ec317aff28ac,319fa1bd3176bded,0,5,12,5,12,0,0,1,0,1,4,2,2,2,6,3,10,2,2,0,0,,0,4,9,4,9,0,0,0,0,2,5,0,0,2,4,4,9,0,0,0,0,
aa161c7159741766,1994-03-11,1,91,429e7d3725852ce9,749685d24e2cac50,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b72acedda7ddc006,1994-03-11,1,187,319fa1bd3176bded,8d5daf67983b65ba,1,13,29,21,38,0,0,1,0,12,28,0,0,1,1,3,6,1,2,9,21,,0,4,7,7,11,0,0,0,0,0,1,2,4,2,2,4,7,0,0,0,0,
c4aa04781989699e,1994-03-11,1,89,749685d24e2cac50,a6c2f5381d575920,0,7,7,7,7,1,1,0,0,7,7,0,0,0,0,0,0,0,0,7,7,,0,1,2,5,7,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,
c53325be8ce33b8b,1994-03-11,1,401,6ceff86fae4f6b3b,7d5b12de1625984e,0,3,5,20,25,0,1,5,4,1,2,1,2,1,1,2,4,0,0,1,1,,0,0,2,14,23,1,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,
ccee020be2e8d9f6,1994-03-11,1,733,319fa1bd3176bded,49590e0508b2c19f,0,11,17,74,86,1,1,0,0,9,15,1,1,1,1,1,1,1,1,9,15,,0,4,5,95,102,0,0,0,0,4,5,0,0,0,0,1,2,2,2,1,1,
d917c8c7461b9831,1994-03-11,1,292,c3c23c99477c041b,505934897b8b4824,0,2,3,14,15,1,1,3,1,2,3,0,0,0,0,1,1,0,0,1,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fcd8e8ec45eb6b9f,1994-03-11,1,308,429e7d3725852ce9,4565d435005319c0,0,2,4,110,114,1,1,2,0,0,0,0,0,2,4,2,4,0,0,0,0,,0,3,7,12,16,0,0,0,0,3,6,0,0,0,1,0,2,0,0,3,5,
323f543eb8abdb36,1994-09-09,1,87,ad047e3073a775f3,a2b06ca02bca14c0,0,6,11,7,13,1,1,0,0,6,11,0,0,0,0,1,2,0,0,5,9,,0,2,6,3,7,0,0,1,0,2,6,0,0,0,0,1,4,1,1,0,1,
5167a5aec41f8b6d,1994-09-09,1,274,63b65af1c5cb02cb,6cbb7661c3258617,0,4,4,7,7,1,2,1,0,1,1,2,2,1,1,0,0,3,3,1,1,,0,3,3,21,22,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,
56315d5ac11594a5,1994-09-09,1,289,63b65af1c5cb02cb,7269329bd87eb479,0,8,9,16,20,1,1,0,0,5,6,3,3,0,0,0,1,0,0,8,8,,0,1,2,21,23,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,
8887948f0c097cd8,1994-09-09,1,119,bf12aca029bfcc47,2299605af59fd309,1,34,50,36,52,0,0,0,0,29,45,0,0,5,5,6,8,2,3,26,39,,0,1,5,4,9,0,1,0,0,1,5,0,0,0,0,0,2,0,0,1,3,
ca837b002a318766,1994-09-09,1,46,a2b06ca02bca14c0,2e04a3b4a2011b97,1,9,12,12,15,0,1,0,0,9,12,0,0,0,0,1,4,4,4,4,4,,0,3,4,3,4,1,2,0,0,0,0,2,2,1,2,2,2,1,2,0,0,
f65b000b7e450bcf,1994-09-09,1,280,429e7d3725852ce9,08ae5cd9aef7ddd3,0,2,6,17,21,0,2,1,1,1,1,0,2,1,3,0,0,2,6,0,0,,0,6,9,6,10,1,1,0,1,3,6,2,2,1,1,0,1,3,3,3,5,
040ecf01338dff9e,1994-12-16,1,105,c670aa48827d6be6,dedc3bb440d09554,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,9,12,14,0,0,0,0,4,4,2,2,2,3,2,3,3,3,3,3,
0b71ada6c9209fc9,1994-12-16,1,229,429e7d3725852ce9,23ab42947c1990e3,0,7,11,27,31,1,1,1,0,5,8,2,3,0,0,0,1,0,0,7,10,,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,
7e7d7a488ea21f63,1994-12-16,1,287,ad047e3073a775f3,81ca2c245b19b3c5,0,13,40,29,70,2,3,1,0,13,36,0,2,0,2,0,6,0,0,13,34,,0,1,4,48,59,0,0,0,0,1,4,0,0,0,0,0,3,1,1,0,0,
8f8f47a728c3127e,1994-12-16,1,133,946f341df6472ee0,adea9f0090aa8e14,0,19,30,23,34,1,1,0,0,17,28,1,1,1,1,0,1,4,5,15,24,,1,9,12,12,15,0,0,0,0,5,8,2,2,2,2,1,4,4,4,4,4,
9c74c2758a2c7c2e,1994-12-16,1,332,429e7d3725852ce9,bf12aca029bfcc47,0,11,23,45,58,0,2,3,0,7,15,3,5,1,3,2,10,9,13,0,0,,0,4,13,7,16,0,0,0,0,3,12,1,1,0,0,1,3,2,4,1,6,
ccccc0a22b05eac6,1994-12-16,1,164,bf12aca029bfcc47,83b743fedde154fb,0,8,14,10,16,0,0,1,0,1,5,0,1,7,8,2,7,0,0,6,7,,0,0,0,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
e65a23b80c869456,1994-12-16,1,52,c670aa48827d6be6,e8fb8e53bc2e29d6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,2,2,3,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,
f29eec19aa5c1303,1994-12-16,1,949,429e7d3725852ce9,c670aa48827d6be6,0,0,4,80,84,0,0,3,0,0,1,0,0,0,3,0,4,0,0,0,0,,0,4,7,27,43,1,1,0,0,4,7,0,0,0,0,0,0,0,0,4,7,
2308e0da38efd4ba,1995-04-07,1,98,c670aa48827d6be6,19ffeb5e3fffd6d5,0,2,4,12,19,1,1,1,0,2,4,0,0,0,0,0,0,0,0,2,4,,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,
43c2c904e1574c59,1995-04-07,1,175,b60391da771deefe,46f11d15c0134fe3,0,4,4,64,66,1,1,1,0,3,3,1,1,0,0,0,0,0,0,4,4,,0,1,2,15,16,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,
6ca94b35719eb300,1995-04-07,1,181,c670aa48827d6be6,9fd1f08dd4aec14a,0,2,3,11,13,1,1,1,0,1,1,0,1,1,1,0,0,1,2,1,1,,0,2,6,5,10,0,0,0,0,2,6,0,0,0,0,0,1,2,5,0,0,
802c0e4e228996ac,1995-04-07,1,21,9fd1f08dd4aec14a,2a7afe14b3a0a058,0,12,18,12,18,1,1,0,0,12,18,0,0,0,0,0,0,0,0,12,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cbf3fc8730b4ad09,1995-04-07,1,261,c670aa48827d6be6,1dc56b59cb28425d,0,9,17,38,64,1,1,0,0,9,17,0,0,0,0,0,0,0,0,9,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
db4c169722cf1e33,1995-04-07,1,132,9fd1f08dd4aec14a,b60391da771deefe,0,8,13,22,28,1,1,0,0,8,13,0,0,0,0,0,0,0,0,8,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
db8df615610f3632,1995-04-07,1,1860,63b65af1c5cb02cb,429e7d3725852ce9,0,9,19,67,84,1,1,0,0,4,14,0,0,5,5,0,1,0,0,9,18,,0,3,8,344,351,0,0,0,0,2,3,0,1,1,4,1,5,0,0,2,3,
db8df615610f3632,1995-04-07,2,300,63b65af1c5cb02cb,429e7d3725852ce9,0,1,3,31,39,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,1,,0,0,4,11,15,0,1,0,0,0,2,0,1,0,1,0,4,0,0,0,0,
ebfe035b70080668,1995-04-07,1,143,1dc56b59cb28425d,2b1587a3376ab743,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,5,7,11,0,0,0,0,2,5,0,0,0,0,0,2,0,0,2,3,
